2023-05-11 00:21:42,523 - SpotMicro Remote controller      - INFO - The remote controller is not detected, looking for connected devices
2023-05-11 00:21:42,525 - SpotMicro Remote controller      - INFO - Connected to device: Wireless Controller
2023-05-11 00:21:42,527 - SpotMicro Remote controller      - INFO - 8 axes found: lx, ly, lz, rx, ry, rz, hat0x, hat0y
2023-05-11 00:21:42,528 - SpotMicro Remote controller      - INFO - 13 buttons found: a, b, x, y, tl, tr, tl2, tr2, select, start, mode, thumbl, thumbr
2023-05-11 00:24:23,946 - SpotMicro                        - INFO - SpotMicro starting...
2023-05-11 00:24:23,963 - SpotMicro                        - INFO - Created the communication queues: abort_controller, motion_controller, serial_controller, lcd_screen_controller
2023-05-11 00:24:23,981 - SpotMicro Configuration          - INFO - Detected configuration for the modules: abort_controller, lcd_screen_controller, remote_controller, motion_controller
2023-05-11 00:24:24,022 - SpotMicro Configuration          - INFO - Detected configuration for the modules: abort_controller, lcd_screen_controller, remote_controller, motion_controller
2023-05-11 00:24:26,499 - SpotMicro Configuration          - INFO - Detected configuration for the modules: abort_controller, lcd_screen_controller, remote_controller, motion_controller
2023-05-11 00:24:26,503 - SpotMicro Remote controller      - INFO - The remote controller is not detected, looking for connected devices
2023-05-11 00:24:26,504 - SpotMicro Remote controller      - INFO - Connected to device: Wireless Controller
2023-05-11 00:24:26,505 - SpotMicro Remote controller      - INFO - 8 axes found: lx, ly, lz, rx, ry, rz, hat0x, hat0y
2023-05-11 00:24:26,505 - SpotMicro Remote controller      - INFO - 13 buttons found: a, b, x, y, tl, tr, tl2, tr2, select, start, mode, thumbl, thumbr
